locus_tag	ftype	length_bp	gene	EC_number	COG	product
1617.00_00041	CDS	1833				hypothetical protein
1617.00_00042	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
1617.00_00043	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
1617.00_00044	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
1617.00_00045	CDS	165				hypothetical protein
1617.00_00046	CDS	444	ndhC	1.6.5.-		NAD(P)H-quinone oxidoreductase subunit 3
1617.00_00047	CDS	663	nuoB	1.6.5.11	COG0377	NADH-quinone oxidoreductase subunit B
1617.00_00048	CDS	1803	nuoC	1.6.5.11	COG0649	NADH-quinone oxidoreductase subunit C/D
1617.00_00049	CDS	501	nuoE	1.6.5.11	COG1905	NADH-quinone oxidoreductase subunit E
1617.00_00050	CDS	1338	nuoF	1.6.5.11	COG1894	NADH-quinone oxidoreductase subunit F
1617.00_00051	CDS	2727	nuoG	1.6.5.11	COG1034	NADH-quinone oxidoreductase subunit G
1617.00_00052	CDS	978	nuoH	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit H
1617.00_00053	CDS	543	nuoI	1.6.5.11	COG1143	NADH-quinone oxidoreductase subunit I
1617.00_00054	CDS	555	nuoJ	1.6.5.11	COG0839	NADH-quinone oxidoreductase subunit J
1617.00_00055	CDS	303	nuoK	1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit K
1617.00_00056	CDS	1842	nuoL_1	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
1617.00_00057	CDS	1530	nuoM	1.6.5.11	COG1008	NADH-quinone oxidoreductase subunit M
1617.00_00058	CDS	1458	nuoN	1.6.5.11	COG1007	NADH-quinone oxidoreductase subunit N
1617.00_00059	CDS	504	yfbM			Protein YfbM
1617.00_00060	CDS	972				hypothetical protein
1617.00_00061	CDS	1209	elaD	3.4.22.-		Protease ElaD
1617.00_00062	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
1617.00_00063	CDS	462				hypothetical protein
1617.00_00064	CDS	306	elaB		COG4575	Protein ElaB
1617.00_00065	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
1617.00_00066	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
1617.00_00067	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
1617.00_00068	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
1617.00_00069	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
1617.00_00070	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
1617.00_00071	CDS	267	pmrD			Signal transduction protein PmrD
1617.00_00072	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
1617.00_00073	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
1617.00_00074	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
1617.00_00075	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
1617.00_00076	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
1617.00_00077	CDS	969	arnC_1	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
1617.00_00078	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
1617.00_00079	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
1617.00_00080	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
1617.00_00081	CDS	543				hypothetical protein
	sig_peptide	66				putative signal peptide
1617.00_00082	CDS	1203	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
1617.00_00083	CDS	783	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
1617.00_00084	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
1617.00_00085	CDS	1290	rhmT			Inner membrane transport protein RhmT
1617.00_00086	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
1617.00_00087	CDS	903				ISNCY family transposase ISSen7
1617.00_00088	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
1617.00_00089	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
1617.00_00090	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
1617.00_00091	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
1617.00_00092	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
	sig_peptide	78				putative signal peptide
1617.00_00093	CDS	1071				hypothetical protein
1617.00_00094	CDS	132				hypothetical protein
1617.00_00095	CDS	801	cysB_1			HTH-type transcriptional regulator CysB
1617.00_00096	CDS	1191	mdtG_1			Multidrug resistance protein MdtG
1617.00_00097	CDS	651	inaA			Protein InaA
1617.00_00098	CDS	255				hypothetical protein
1617.00_00099	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
1617.00_00100	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
1617.00_00101	CDS	3681	yfaL		COG3468	putative autotransporter YfaL
1617.00_00102	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
1617.00_00103	CDS	2628	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
1617.00_00104	CDS	1689				hypothetical protein
1617.00_00105	CDS	624				hypothetical protein
	sig_peptide	60				putative signal peptide
1617.00_00106	CDS	1917				hypothetical protein
1617.00_00107	CDS	2430				hypothetical protein
1617.00_00108	CDS	1650				hypothetical protein
	sig_peptide	60				putative signal peptide
1617.00_00109	CDS	606				hypothetical protein
	sig_peptide	60				putative signal peptide
1617.00_00110	CDS	651	atoC		COG2204	Regulatory protein AtoC
1617.00_00111	CDS	1827	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
1617.00_00112	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
1617.00_00113	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
1617.00_00114	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
1617.00_00115	CDS	1095	ompC		COG3203	Outer membrane protein C
	sig_peptide	66				putative signal peptide
1617.00_00116	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
1617.00_00117	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
1617.00_00118	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
1617.00_00119	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
1617.00_00120	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
	sig_peptide	81				putative signal peptide
1617.00_00121	CDS	489	eco		COG4574	Ecotin
	sig_peptide	63				putative signal peptide
1617.00_00122	CDS	165				hypothetical protein
1617.00_00123	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
1617.00_00124	CDS	264	napD		COG3062	Chaperone NapD
1617.00_00125	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
	sig_peptide	96				putative signal peptide
1617.00_00126	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
1617.00_00127	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
1617.00_00128	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
	sig_peptide	84				putative signal peptide
1617.00_00129	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
1617.00_00130	CDS	618	ccmA	3.6.3.41	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
1617.00_00131	CDS	663	ccmB		COG2386	Heme exporter protein B
1617.00_00132	CDS	738	ccmC		COG0755	Heme exporter protein C
1617.00_00133	CDS	210	ccmD		COG3114	Heme exporter protein D
1617.00_00134	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
1617.00_00135	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
1617.00_00136	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
1617.00_00137	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
	sig_peptide	57				putative signal peptide
1617.00_00138	CDS	648	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
1617.00_00139	CDS	2592				putative autotransporter
	sig_peptide	90				putative signal peptide
1617.00_00140	CDS	126				hypothetical protein
1617.00_00141	CDS	1059				hypothetical protein
1617.00_00142	CDS	1179				hypothetical protein
1617.00_00143	CDS	210				hypothetical protein
1617.00_00144	CDS	180				hypothetical protein
1617.00_00145	CDS	222				hypothetical protein
1617.00_00146	CDS	465				hypothetical protein
1617.00_00147	CDS	198				hypothetical protein
1617.00_00148	CDS	540				hypothetical protein
1617.00_00149	CDS	831				hypothetical protein
1617.00_00150	CDS	372				hypothetical protein
1617.00_00151	CDS	627			COG1974	putative HTH-type transcriptional regulator
1617.00_00152	CDS	216				hypothetical protein
1617.00_00153	CDS	549				hypothetical protein
1617.00_00154	CDS	855				hypothetical protein
1617.00_00155	CDS	888				hypothetical protein
1617.00_00156	CDS	693				hypothetical protein
1617.00_00157	CDS	1062				hypothetical protein
1617.00_00158	CDS	693				hypothetical protein
1617.00_00159	CDS	210				hypothetical protein
1617.00_00160	CDS	879				hypothetical protein
1617.00_00161	CDS	1053				hypothetical protein
1617.00_00162	CDS	216				hypothetical protein
1617.00_00163	CDS	540	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
	sig_peptide	69				putative signal peptide
1617.00_00164	CDS	537				hypothetical protein
1617.00_00165	CDS	693				hypothetical protein
1617.00_00166	CDS	489				hypothetical protein
1617.00_00167	CDS	2103				hypothetical protein
1617.00_00168	CDS	216				hypothetical protein
1617.00_00169	CDS	1500				hypothetical protein
1617.00_00170	CDS	2013	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
1617.00_00171	CDS	327				hypothetical protein
1617.00_00172	CDS	243				hypothetical protein
1617.00_00173	CDS	579				hypothetical protein
1617.00_00174	CDS	402				hypothetical protein
1617.00_00175	CDS	744				hypothetical protein
1617.00_00176	CDS	432				hypothetical protein
1617.00_00177	CDS	273				hypothetical protein
1617.00_00178	CDS	3144				hypothetical protein
1617.00_00179	CDS	348				hypothetical protein
1617.00_00180	CDS	756				hypothetical protein
1617.00_00181	CDS	711				hypothetical protein
1617.00_00182	CDS	414				hypothetical protein
1617.00_00183	CDS	591				hypothetical protein
1617.00_00184	CDS	3174				hypothetical protein
1617.00_00185	CDS	642				hypothetical protein
1617.00_00186	CDS	369				hypothetical protein
1617.00_00187	CDS	1398				hypothetical protein
1617.00_00188	CDS	420	umuD_1	3.4.21.-	COG1974	Protein UmuD
1617.00_00189	CDS	1269	umuC_1		COG0389	Protein UmuC
1617.00_00190	CDS	150				hypothetical protein
1617.00_00191	CDS	483				hypothetical protein
1617.00_00192	CDS	354				hypothetical protein
1617.00_00193	CDS	672	yedK_1	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
1617.00_00194	CDS	120				hypothetical protein
1617.00_00195	CDS	240				hypothetical protein
1617.00_00196	tRNA	77				tRNA-Pro(ggg)
1617.00_00197	CDS	1761	yejM		COG3083	Inner membrane protein YejM
1617.00_00198	CDS	228				hypothetical protein
1617.00_00199	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
1617.00_00200	CDS	285	rplY		COG1825	50S ribosomal protein L25
1617.00_00201	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
1617.00_00202	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
1617.00_00203	CDS	1191	bcr_1			Bicyclomycin resistance protein
1617.00_00204	CDS	345	yejG			putative protein YejG
1617.00_00205	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
1617.00_00206	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
1617.00_00207	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
1617.00_00208	CDS	1815				hypothetical protein
	sig_peptide	60				putative signal peptide
1617.00_00209	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
1617.00_00210	CDS	567	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
	sig_peptide	102				putative signal peptide
1617.00_00211	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
1617.00_00212	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
1617.00_00213	CDS	1467	mtlK_1	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
1617.00_00214	CDS	573	yeiP		COG0231	Elongation factor P-like protein
1617.00_00215	CDS	255				hypothetical protein
1617.00_00216	CDS	1182	setB			Sugar efflux transporter B
1617.00_00217	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
1617.00_00218	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
1617.00_00219	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
1617.00_00220	CDS	942	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
1617.00_00221	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
1617.00_00222	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
1617.00_00223	CDS	699	yeiL		COG0664	Regulatory protein YeiL
1617.00_00224	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
1617.00_00225	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
1617.00_00226	CDS	1089	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
1617.00_00227	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
1617.00_00228	CDS	1050				hypothetical protein
1617.00_00229	CDS	807	cysL		COG0583	HTH-type transcriptional regulator CysL
1617.00_00230	CDS	1470	lysP		COG0833	Lysine-specific permease
1617.00_00231	CDS	1980	cirA		COG4771	Colicin I receptor
	sig_peptide	78				putative signal peptide
1617.00_00232	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
1617.00_00233	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
1617.00_00234	CDS	1158				hypothetical protein
1617.00_00235	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
1617.00_00236	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
	sig_peptide	72				putative signal peptide
1617.00_00237	CDS	1521	mglA_1	3.6.3.17	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
1617.00_00238	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
1617.00_00239	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
1617.00_00240	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
1617.00_00241	CDS	240				hypothetical protein
1617.00_00242	CDS	720				hypothetical protein
1617.00_00243	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
1617.00_00244	CDS	696	yohK		COG1346	Inner membrane protein YohK
1617.00_00245	CDS	399				hypothetical protein
1617.00_00246	CDS	948	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
1617.00_00247	CDS	1437	srpC			Solvent efflux pump outer membrane protein SrpC
	sig_peptide	72				putative signal peptide
1617.00_00248	CDS	762	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
1617.00_00249	CDS	579	yohD		COG0586	Inner membrane protein YohD
1617.00_00250	CDS	588	yohC			Inner membrane protein YohC
1617.00_00251	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
	sig_peptide	78				putative signal peptide
1617.00_00252	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
1617.00_00253	CDS	2268		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
1617.00_00254	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
	sig_peptide	72				putative signal peptide
1617.00_00255	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
1617.00_00256	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
1617.00_00257	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
1617.00_00258	CDS	108				hypothetical protein
1617.00_00259	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
1617.00_00260	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
1617.00_00261	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
1617.00_00262	CDS	471				hypothetical protein
1617.00_00263	CDS	462	yehR		COG4808	putative lipoprotein YehR
	sig_peptide	66				putative signal peptide
1617.00_00264	CDS	2001				hypothetical protein
1617.00_00265	CDS	1137				hypothetical protein
1617.00_00266	CDS	2280				hypothetical protein
1617.00_00267	CDS	1089	yehL		COG0714	putative protein YehL
1617.00_00268	CDS	90				hypothetical protein
1617.00_00269	CDS	90				hypothetical protein
1617.00_00270	CDS	306				hypothetical protein
1617.00_00271	CDS	3633				hypothetical protein
1617.00_00272	CDS	3762				hypothetical protein
1617.00_00273	CDS	3798				hypothetical protein
1617.00_00274	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
1617.00_00275	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
1617.00_00276	CDS	282				hypothetical protein
	sig_peptide	69				putative signal peptide
1617.00_00277	CDS	543	yehD_1			putative fimbrial-like protein YehD
	sig_peptide	69				putative signal peptide
1617.00_00278	CDS	675	yehC_1		COG3121	putative fimbrial chaperone YehC
	sig_peptide	57				putative signal peptide
1617.00_00279	CDS	2481	yehB_1		COG3188	Outer membrane usher protein YehB
	sig_peptide	69				putative signal peptide
1617.00_00280	CDS	1035	yehA			putative fimbrial-like protein YehA
	sig_peptide	63				putative signal peptide
1617.00_00281	CDS	339	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
	sig_peptide	66				putative signal peptide
1617.00_00282	CDS	825	rcnA		COG2215	Nickel/cobalt efflux system RcnA
1617.00_00283	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
1617.00_00284	CDS	789	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
1617.00_00285	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
1617.00_00286	CDS	819				hypothetical protein
1617.00_00287	CDS	747	yvoA		COG2188	HTH-type transcriptional repressor YvoA
1617.00_00288	CDS	966	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
1617.00_00289	CDS	1005				hypothetical protein
1617.00_00290	CDS	1278	yegT			Putative nucleoside transporter YegT
1617.00_00291	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
1617.00_00292	CDS	855	gatY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
1617.00_00293	CDS	1263	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
1617.00_00294	CDS	453	gatA		COG1762	PTS system galactitol-specific EIIA component
1617.00_00295	CDS	285	gatB	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
1617.00_00296	CDS	1356	gatC		COG3775	PTS system galactitol-specific EIIC component
1617.00_00297	CDS	1041	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
1617.00_00298	CDS	780	srlR_1		COG1349	Glucitol operon repressor
1617.00_00299	CDS	900	yegS	2.7.1.-	COG1597	Lipid kinase YegS
1617.00_00300	CDS	318				hypothetical protein
	sig_peptide	66				putative signal peptide
1617.00_00301	CDS	1362	ydcP_1	3.4.-.-	COG0826	putative protease YdcP
1617.00_00302	CDS	333				hypothetical protein
1617.00_00303	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
1617.00_00304	CDS	1404	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
1617.00_00305	CDS	1416	mdtD			Putative multidrug resistance protein MdtD
1617.00_00306	CDS	3078	mdtC			Multidrug resistance protein MdtC
1617.00_00307	CDS	3123	mdtB			Multidrug resistance protein MdtB
1617.00_00308	CDS	1368	mdtA			Multidrug resistance protein MdtA
1617.00_00309	CDS	660				hypothetical protein
1617.00_00310	CDS	681				hypothetical protein
1617.00_00311	CDS	1941				hypothetical protein
1617.00_00312	CDS	1353	dnaK_1		COG0443	Chaperone protein DnaK
1617.00_00313	CDS	858	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
1617.00_00314	CDS	3318	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
1617.00_00315	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
1617.00_00316	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
1617.00_00317	CDS	1854				hypothetical protein
1617.00_00318	CDS	1584				hypothetical protein
1617.00_00319	CDS	1140				hypothetical protein
	sig_peptide	78				putative signal peptide
1617.00_00320	CDS	444	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
1617.00_00321	CDS	2163	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
1617.00_00322	CDS	840				hypothetical protein
1617.00_00323	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
1617.00_00324	CDS	1218				hypothetical protein
1617.00_00325	CDS	1218				hypothetical protein
1617.00_00326	CDS	747				hypothetical protein
1617.00_00327	CDS	549	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
1617.00_00328	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
1617.00_00329	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
1617.00_00330	CDS	483	gmm	3.6.1.-	COG0494	GDP-mannose mannosyl hydrolase
1617.00_00331	CDS	1224				hypothetical protein
1617.00_00332	CDS	1437	manC1_1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
1617.00_00333	CDS	1371	algC_1	5.4.2.2		Phosphomannomutase/phosphoglucomutase
1617.00_00334	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
1617.00_00335	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
1617.00_00336	CDS	1281				hypothetical protein
1617.00_00337	CDS	1221	gtf1_1	2.4.1.-		Glycosyltransferase Gtf1
1617.00_00338	CDS	1395				hypothetical protein
	sig_peptide	87				putative signal peptide
1617.00_00339	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
1617.00_00340	CDS	1086	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
1617.00_00341	CDS	900	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
1617.00_00342	CDS	879	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
1617.00_00343	CDS	546	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
1617.00_00344	CDS	1431				hypothetical protein
1617.00_00345	CDS	1113	vioA	2.6.1.33		dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
1617.00_00346	CDS	579	vioB	2.3.1.209	COG0110	dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase
1617.00_00347	CDS	747				hypothetical protein
1617.00_00348	CDS	822				hypothetical protein
1617.00_00349	CDS	1176				hypothetical protein
